"시점","자치구별(1)",자치구별(2),일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자
"시점","자치구별(1)",자치구별(2),소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세이상
"2017","합계",마포구,7131,88,195,378,725,372,146,130,150,291,482,553,666,542,556,600,592,665
"2017","합계",양천구,10065,111,471,941,1467,465,154,137,247,414,630,709,816,705,685,676,697,740
"2017","합계",강서구,20322,174,554,1133,2018,1062,445,302,469,722,1372,1722,2086,1840,1525,1502,1604,1792
"2017","합계",구로구,7985,85,328,701,930,324,118,108,169,311,493,578,651,572,590,660,686,681
"2017","합계",금천구,9079,93,339,683,1059,429,143,108,194,332,659,800,840,681,676,692,713,638
"2017","합계",영등포구,7291,41,155,402,684,258,72,69,142,280,486,625,759,695,755,641,641,586
"2017","합계",동작구,7606,76,252,537,882,366,130,114,183,285,509,568,645,533,575,625,673,653
"2017","합계",관악구,12759,123,422,810,1357,701,272,193,302,539,906,1039,1205,1008,894,1015,969,1004
"2017","합계",서초구,4692,72,251,309,560,276,119,89,112,178,313,356,387,367,329,332,291,351
"2017","합계",강남구,10564,223,301,571,1031,630,276,177,278,367,602,825,1028,996,878,846,756,779
"2017","합계",송파구,9167,101,435,794,1434,520,164,129,188,342,617,689,783,640,629,594,523,585
"2017","합계",강동구,9167,93,372,713,1154,468,167,109,218,352,636,790,855,683,670,593,648,646
"2018","합계",소계,277991,3156,8622,17188,26780,12719,5347,3933,6592,10073,18145,21824,25010,24277,22625,22593,23029,26078
"2018","합계",종로구,3801,24,61,175,272,109,42,42,53,117,210,339,374,411,398,401,411,362
"2018","합계",중구,4153,28,87,189,300,103,47,40,73,140,229,307,441,430,460,407,402,470
"2018","합계",용산구,6258,47,145,298,503,172,69,68,138,223,399,518,641,634,636,588,542,637
"2018","합계",성동구,7725,58,197,453,748,352,134,94,134,242,518,650,771,672,631,637,630,804
"2018","합계",광진구,8641,97,330,677,961,438,155,111,206,328,652,698,727,727,662,611,552,709
"2018","합계",동대문구,12227,105,333,693,1056,417,201,165,255,369,695,981,1160,1186,1156,1078,1179,1198
"2018","합계",중랑구,16559,188,689,1283,1900,646,257,229,431,590,1099,1296,1447,1440,1322,1291,1154,1297
"2018","합계",성북구,12468,154,389,868,1336,574,234,149,273,455,805,944,1021,1024,985,981,1078,1198
"2018","합계",강북구,15901,157,521,1046,1545,711,324,189,382,588,1143,1269,1405,1310,1251,1303,1346,1411
"2018","합계",도봉구,11178,124,472,940,1367,558,217,140,289,444,795,860,842,789,711,753,829,1048
"2018","합계",노원구,25285,260,670,1303,2200,1323,632,423,627,980,1677,2125,2379,2246,1959,1990,2192,2299
"2018","합계",은평구,17699,215,619,1191,1927,893,351,234,459,726,1213,1273,1365,1335,1335,1459,1443,1661
"2018","합계",서대문구,8070,337,233,513,786,358,151,100,169,257,489,548,670,665,609,635,729,821
"2018","합계",마포구,7891,115,202,370,666,399,172,127,178,273,510,578,692,695,660,725,712,817
"2018","합계",양천구,11803,132,443,935,1370,535,209,169,289,500,722,824,979,928,892,873,922,1081
"2018","합계",강서구,21827,195,537,1090,1749,972,487,330,532,721,1314,1777,2235,2201,1831,1770,1844,2242
"2018","합계",구로구,8438,77,289,608,851,323,127,133,189,288,541,616,692,677,665,723,759,880
"2018","합계",금천구,9441,97,303,606,909,416,165,125,194,313,639,844,883,785,778,741,818,825
"2018","합계",영등포구,7984,53,138,368,560,277,73,96,150,246,531,684,818,837,828,784,763,778
"2018","합계",동작구,8918,75,265,513,820,432,158,133,252,341,596,620,762,722,714,792,804,919
"2018","합계",관악구,14025,134,381,770,1171,718,306,233,341,543,960,1103,1294,1222,1080,1171,1186,1412
"2018","합계",서초구,5289,69,233,287,510,285,126,99,129,195,352,403,442,463,416,424,371,485
"2018","합계",강남구,10878,163,268,511,897,585,282,175,290,378,601,827,1029,1125,979,970,874,924
"2018","합계",송파구,11613,158,477,829,1350,663,246,206,312,460,798,909,991,917,865,777,737,918
"2018","합계",강동구,9919,94,340,672,1026,460,182,123,247,356,657,831,950,836,802,709,752,882
"2019","합계",소계,306548,3412,8761,15939,23954,12944,6025,4791,7433,10938,19189,23853,27806,28826,27362,26421,26283,32611
"2019","합계",종로구,4122,34,52,156,229,124,52,62,75,111,241,328,464,472,482,402,412,426
"2019","합계",중구,4499,26,88,169,266,115,50,48,84,136,229,323,474,492,550,476,429,544
"2019","합계",용산구,6706,42,137,274,439,186,83,88,143,241,425,535,697,708,720,637,606,745
"2019","합계",성동구,8366,73,198,422,633,356,133,112,152,260,544,734,792,814,737,731,730,945
"2019","합계",광진구,9609,102,324,615,825,454,188,135,232,363,687,842,897,936,811,694,674,830
"2019","합계",동대문구,13017,112,320,650,909,380,205,174,257,416,727,1009,1262,1359,1340,1237,1265,1395
"2019","합계",중랑구,19332,232,701,1248,1652,742,343,270,488,719,1247,1536,1763,1834,1731,1577,1461,1788
"2019","합계",성북구,13326,129,421,782,1184,564,242,178,286,449,852,991,1135,1186,1156,1095,1160,1516
"2019","합계",강북구,17446,151,547,947,1390,701,346,232,386,630,1154,1431,1570,1560,1517,1517,1607,1760
"2019","합계",도봉구,11902,125,441,801,1242,531,247,170,321,467,811,960,941,962,854,861,920,1248
